,Ferrari,Schneider Electric,NVIDIA,S&P 500
2025-08-25,342.0922632024836,181.98117646864335,132.90576661338142,4765.933636292892
2025-08-26,343.85137700344393,179.19617423634634,134.9299318629028,4806.133137993461
2025-08-27,344.249864395438,179.79371373443945,134.5516553662128,4808.615426523554
2025-08-28,350.65218188493606,181.50153065767995,133.24382408901678,4814.822527466174
2025-08-29,349.1676555232299,178.84272475910217,128.74435374166467,4781.4319146537055
2025-09-02,359.0700340497864,179.74916439989423,125.88846941735771,4735.438649890817
2025-09-03,365.506226577407,185.96200309337883,127.31599553001129,4818.075223432631
2025-09-04,364.19831996776765,185.57640635657398,127.53831706060963,4837.287481474406
2025-09-05,359.39924967478845,186.37469664039116,124.06422497236444,4820.939479659724
2025-09-08,350.9289401681628,193.30292487569386,124.57367608375999,4813.750377981589
2025-09-09,349.84524390670816,191.06145526230083,125.82597490646172,4805.264214309224
2025-09-10,346.2857253693645,195.13552715599565,130.97617047943817,4830.998683690583
2025-09-11,350.1294477465825,195.5324192500553,130.73352525221833,4867.086293829662
2025-09-12,348.05869153298386,197.4479120780381,130.80826980656605,4849.724564795547
2025-09-15,349.3397735158693,199.13695911878392,130.98045024165637,4880.885964404611
2025-09-16,349.0857388440228,194.9174408783784,128.39926441255716,4856.9591802252335
2025-09-17,340.3176250213358,194.29543240591383,124.55981445370051,4834.030234827124
2025-09-18,350.887581263748,198.80707276732957,129.140826609641,4865.8027440536325
2025-09-19,349.7474960445348,197.90164611587943,130.15991124562154,4916.165107344537
2025-09-22,350.75981071354266,197.41639802747125,136.1897879159455,4971.314407638744
2025-09-23,355.8640487556784,198.2687449559392,131.85575604237454,4925.58836155228
2025-09-24,351.30125873114997,199.91732078481888,130.68493960637824,4908.115406796998
2025-09-25,347.7234908045309,198.61892744111768,131.91973265011845,4909.697887261039
2025-09-26,352.36770194152473,202.57428600680302,133.4402336322623,4981.5791315590195
2025-09-29,355.408448059541,201.3715224942162,135.45278515117116,4967.996790795729
2025-09-30,356.98076921882677,204.26737996970377,138.67595837856717,4977.551748534707
2025-10-01,360.5092407795492,210.52968796440067,139.10294114647758,4992.1932860062925
2025-10-02,369.682521027383,214.70896483475474,139.9457760541592,4981.647897376661
2025-10-03,368.4429983274618,214.38720373097,139.3515034137829,4994.398871901092
2025-10-06,361.71544798197334,214.62980819554127,137.93820217988957,5017.397119185085
2025-10-07,359.8539280161691,210.26649065235418,137.0453186835841,4979.338418630835
2025-10-08,352.98554132860323,212.74073251992843,140.72637794209018,5032.197075152564
2025-10-09,300.51464914486576,212.76761863950605,143.5107810330247,5025.671905303712
2025-10-10,294.02975073918105,209.9422642634656,137.48771185377655,4924.866574679688
2025-10-13,280.7393659019324,211.5055116770886,141.03001493582352,4989.975525772899
2025-10-14,283.3871955597416,209.4142307111136,134.8576999689026,4983.49839443344
2025-10-15,289.0906853768021,211.87732172239367,134.81923551162566,5007.697803404875
2025-10-16,289.44254234588504,215.88495003702437,135.4611223052447,4945.418837917019
2025-10-17,293.42532107592973,210.85503442605486,136.09447118845793,4956.290764602953
2025-10-20,293.28839436832817,212.246465443219,135.8624710831022,5016.526997421342
2025-10-21,295.32676999122464,213.61611902993042,134.96960200564087,5024.436608210308
2025-10-22,291.47567552766253,210.71251610083343,134.71547470296085,5012.557976140539
2025-10-23,298.27610335470115,213.2546793241134,136.25676501663966,5046.821891688664
2025-10-24,302.8717629830413,217.72352853083956,139.57843313692118,5096.008492389729
2025-10-27,302.3564698622861,222.44442730485878,143.55237466659602,5160.605099380509
2025-10-28,298.088843400938,220.19633449987145,150.49390943382335,5165.197582895625
2025-10-29,291.41070082974926,222.50780398556037,155.71287426466694,5188.958678433791
2025-10-30,296.68061311568005,215.64219889508323,153.56229764618666,5170.241867136106
2025-10-31,303.471343031794,213.10069717501483,153.68221520385765,5198.0732514701285
2025-11-03,295.06277450567086,211.17861961454983,157.30539874199224,5216.679122707263
2025-11-04,300.5904643490809,206.5932661170345,151.0719923039574,5155.24831662681
2025-11-05,308.7386540737529,210.44434122929246,149.72037403766157,5219.204162223602
2025-11-06,307.21249451906255,203.9454222965399,143.9103812266578,5148.6452748222655
2025-11-07,310.89452899769475,199.7813710111158,142.99598273785614,5120.4819292147595
2025-11-10,309.45458058171533,201.9213966189563,151.26024535239713,5198.659216969042
2025-11-11,317.04303488088823,203.1023490206661,146.4467682844942,5197.466842686148
2025-11-12,315.31774773252783,207.4882149759685,147.15650977864368,5208.685897914629
2025-11-13,314.63141001862533,204.01676675778364,142.15743175279496,5132.216015195195
2025-11-14,313.56045033146916,205.19242051018756,144.4077727506698,5120.145995989613
2025-11-17,304.5215743313733,201.63437123613704,141.6111289510397,5070.164050990934
2025-11-18,298.9404771030582,196.53510532537666,137.6761393198196,5029.824786996237
2025-11-19,293.121750740212,197.05906162393214,141.6864014521801,5052.027038331444
2025-11-20,289.9890141963393,198.72832892408562,138.12001441993968,5006.009142971877
2025-11-21,294.0410219921732,192.9519071648218,136.53311954141634,5046.26940277805
2025-11-24,288.03876339018007,192.76392494699527,139.2121620573608,5119.828867846419
2025-11-25,290.5090307255324,193.65052395796266,135.50384219233266,5162.3662447367915
2025-11-26,287.5909060107313,196.70740192125075,136.81462511881332,5177.263649807706
2025-11-28,292.59385048106674,199.25963850268965,133.50365856304518,5172.569375493304
2025-12-01,288.9138431556934,198.4078037626478,135.72046921727312,5145.579333435738
2025-12-02,289.3025053518253,199.2218169102362,137.1974999275774,5170.106307315926
2025-12-03,294.5250705297316,198.84200405043043,135.679611012242,5181.539294607998
2025-12-04,291.2194209576881,204.52082660114255,137.2081058779403,5136.874446051903
2025-12-05,291.79542924169266,202.66370814124485,136.7592590902331,5157.265482644222
2025-12-08,284.14408937829364,204.37623583370998,139.08415090737367,5138.250458086301
2025-12-09,278.4371671813817,201.52107093166146,138.6264963224524,5132.899789924705
2025-12-10,270.51952774831693,200.96716268600724,137.97547413881165,5176.580072854274
2025-12-11,271.70093312817374,205.84435262813278,134.9755914312729,5154.4946272941
2025-12-12,271.04455129680326,203.1850055675243,130.5457133021097,5098.709909793134
2025-12-15,272.59259829991385,209.83733651367135,131.71659618570803,5099.226537759682
2025-12-16,273.67489051377123,206.96170996094017,132.65723008237984,5082.173892382099
2025-12-17,269.15440743652937,199.0660612333478,127.17450226231286,5006.65245129401
2025-12-18,275.4462483196556,202.42371478782943,130.04342717711228,5065.393182146751
